Date,S&P500,CAPE
01/06/1942,8.33,8.91
01/07/1942,8.64,9.15
01/08/1942,8.59,9.01
01/09/1942,8.68,9.08
01/10/1942,9.32,9.60
01/11/1942,9.47,9.66
01/12/1942,9.52,9.62
01/01/1943,10.09,10.15
01/02/1943,10.69,10.71
01/03/1943,11.07,10.85
01/04/1943,11.44,11.04
01/05/1943,11.89,11.36
01/06/1943,12.10,11.52
01/07/1943,12.35,11.77
01/08/1943,11.74,11.21
01/09/1943,11.99,11.34
01/10/1943,11.88,11.19
01/11/1943,11.33,10.63
01/12/1943,11.48,10.74
01/01/1944,11.85,11.05
01/02/1944,11.77,10.95
01/03/1944,12.10,11.22
01/04/1944,11.89,10.94
01/05/1944,12.10,11.10
01/06/1944,12.67,11.53
01/07/1944,13.00,11.74
01/08/1944,12.81,11.54
01/09/1944,12.60,11.33
01/10/1944,12.91,11.58
01/11/1944,12.82,11.48
01/12/1944,13.10,11.64
01/01/1945,13.49,11.96
01/02/1945,13.94,12.34
01/03/1945,13.93,12.32
01/04/1945,14.28,12.63
01/05/1945,14.82,13.04
01/06/1945,15.09,13.13
01/07/1945,14.78,12.87
01/08/1945,14.83,12.92
01/09/1945,15.84,13.80
01/10/1945,16.50,14.37
01/11/1945,17.04,14.85
01/12/1945,17.33,15.02
01/01/1946,18.02,15.62
01/02/1946,18.07,15.76
01/03/1946,17.53,15.13
01/04/1946,18.66,16.04
01/05/1946,18.70,16.01
01/06/1946,18.58,15.77
01/07/1946,18.05,14.51
01/08/1946,17.70,13.98
01/09/1946,15.09,11.84
01/10/1946,14.75,11.39
01/11/1946,14.69,11.11
01/12/1946,15.13,11.37
01/01/1947,15.21,11.47
01/02/1947,15.80,11.95
01/03/1947,15.16,11.29
01/04/1947,14.60,10.90
01/05/1947,14.34,10.73
01/06/1947,14.84,11.08
01/07/1947,15.77,11.70
01/08/1947,15.46,11.34
01/09/1947,15.06,10.83
01/10/1947,15.45,11.13
01/11/1947,15.27,10.98
01/12/1947,15.03,10.68
01/01/1948,14.83,10.42
01/02/1948,14.10,10.00
01/03/1948,14.30,10.19
01/04/1948,15.40,10.78
01/05/1948,16.15,11.24
01/06/1948,16.82,11.58
01/07/1948,16.42,11.13
01/08/1948,15.94,10.72
01/09/1948,15.76,10.55
01/10/1948,16.19,10.83
01/11/1948,15.29,10.25
01/12/1948,15.19,10.16
01/01/1949,15.36,10.25
01/02/1949,14.77,9.87
01/03/1949,14.91,9.90
01/04/1949,14.89,9.78
01/05/1949,14.78,9.69
01/06/1949,13.97,9.07
01/07/1949,14.76,9.61
01/08/1949,15.29,9.85
01/09/1949,15.49,9.88
01/10/1949,15.89,10.17
01/11/1949,16.11,10.22
01/12/1949,16.54,10.53
01/01/1950,16.88,10.75
01/02/1950,17.21,10.91
01/03/1950,17.35,10.91
01/04/1950,17.84,11.18
01/05/1950,18.44,11.46
01/06/1950,18.74,11.55
01/07/1950,17.38,10.54
01/08/1950,18.43,11.04
01/09/1950,19.08,11.34
01/10/1950,19.87,11.66
01/11/1950,19.83,11.54
01/12/1950,19.75,11.31
01/01/1951,21.21,11.90
01/02/1951,22.00,12.14
01/03/1951,21.63,11.84
01/04/1951,21.92,11.95
01/05/1951,21.93,11.86
01/06/1951,21.55,11.62
01/07/1951,21.93,11.78
01/08/1951,22.89,12.26
01/09/1951,23.48,12.44
01/10/1951,23.36,12.31
01/11/1951,22.71,11.85
01/12/1951,23.41,12.15
01/01/1952,24.19,12.53
01/02/1952,23.75,12.36
01/03/1952,23.81,12.36
01/04/1952,23.74,12.24
01/05/1952,23.73,12.20
01/06/1952,24.38,12.45
01/07/1952,25.08,12.67
01/08/1952,25.18,12.68
01/09/1952,24.78,12.43
01/10/1952,24.26,12.13
01/11/1952,25.03,12.47
01/12/1952,26.04,12.93
01/01/1953,26.18,13.01
01/02/1953,25.86,12.86
01/03/1953,25.99,12.83
01/04/1953,24.71,12.16
01/05/1953,24.84,12.14
01/06/1953,23.95,11.62
01/07/1953,24.29,11.75
01/08/1953,24.39,11.72
01/09/1953,23.27,11.14
01/10/1953,23.97,11.39
01/11/1953,24.50,11.64
01/12/1953,24.83,11.75
01/01/1954,25.46,12.00
01/02/1954,26.02,12.22
01/03/1954,26.57,12.42
01/04/1954,27.63,12.91
01/05/1954,28.73,13.31
01/06/1954,28.96,13.36
01/07/1954,30.13,13.83
01/08/1954,30.73,14.04
01/09/1954,31.45,14.36
01/10/1954,32.18,14.62
01/11/1954,33.44,15.12
01/12/1954,34.97,15.79
01/01/1955,35.60,15.99
01/02/1955,36.79,16.44
01/03/1955,36.50,16.22
01/04/1955,37.76,16.69
01/05/1955,37.60,16.52
01/06/1955,39.78,17.37
01/07/1955,42.69,18.45
01/08/1955,42.43,18.22
01/09/1955,44.34,18.84
01/10/1955,42.11,17.77
01/11/1955,44.95,18.84
01/12/1955,45.37,18.94
01/01/1956,44.15,18.29
01/02/1956,44.43,18.27
01/03/1956,47.49,19.37
01/04/1956,48.05,19.37
01/05/1956,46.54,18.54
01/06/1956,46.27,18.16
01/07/1956,48.78,18.86
01/08/1956,48.49,18.67
01/09/1956,46.84,17.84
01/10/1956,46.24,17.42
01/11/1956,45.76,17.12
01/12/1956,46.44,17.20
01/01/1957,45.43,16.72
01/02/1957,43.47,15.84
01/03/1957,44.03,15.90
01/04/1957,45.05,16.12
01/05/1957,46.78,16.60
01/06/1957,47.55,16.73
01/07/1957,48.51,16.87
01/08/1957,45.84,15.87
01/09/1957,43.98,15.16
01/10/1957,41.24,14.15
01/11/1957,40.35,13.74
01/12/1957,40.33,13.67
01/01/1958,41.12,13.79
01/02/1958,41.26,13.78
01/03/1958,42.11,13.93
01/04/1958,42.34,13.91
